#,Date,"Full Range, μS/cm (LGR S/N: 10778446, SEN S/N: 10778446)","Temp, °F (LGR S/N: 10778446, SEN S/N: 10778446)"
146,9/15/2022 22:45,105.8,76.03
147,9/15/2022 23:00,105.8,75.96
148,9/15/2022 23:15,105.8,75.9
149,9/15/2022 23:30,105.8,75.85
150,9/15/2022 23:45,105.8,75.78
151,9/16/2022 0:00,105.8,75.7
152,9/16/2022 0:15,105.8,75.63
153,9/16/2022 0:30,105.4,75.6
154,9/16/2022 0:45,105.4,75.52
155,9/16/2022 1:00,105.8,75.45
156,9/16/2022 1:15,105.5,75.38
157,9/16/2022 1:30,105.8,75.31
158,9/16/2022 1:45,105.5,75.24
159,9/16/2022 2:00,105.9,75.18
160,9/16/2022 2:15,105.9,75.15
161,9/16/2022 2:30,105.5,75.07
162,9/16/2022 2:45,105.5,75.02
163,9/16/2022 3:00,105.5,74.98
164,9/16/2022 3:15,105.5,74.93
165,9/16/2022 3:30,105.5,74.88
166,9/16/2022 3:45,105.5,74.8
167,9/16/2022 4:00,105.5,74.79
168,9/16/2022 4:15,105.5,74.71
169,9/16/2022 4:30,105.5,74.7
170,9/16/2022 4:45,105.1,74.64
171,9/16/2022 5:00,105.5,74.61
172,9/16/2022 5:15,105.5,74.55
173,9/16/2022 5:30,105.1,74.5
174,9/16/2022 5:45,105.1,74.46
175,9/16/2022 6:00,105.1,74.44
176,9/16/2022 6:15,105.5,74.39
177,9/16/2022 6:30,105.5,74.34
178,9/16/2022 6:45,105.5,74.32
179,9/16/2022 7:00,105.1,74.26
180,9/16/2022 7:15,105.1,74.23
181,9/16/2022 7:30,105.1,74.17
182,9/16/2022 7:45,105.5,74.16
183,9/16/2022 8:00,105.1,74.14
184,9/16/2022 8:15,105.1,74.1
185,9/16/2022 8:30,105.1,74.08
186,9/16/2022 8:45,105.5,74.08
187,9/16/2022 9:00,105.5,74.07
188,9/16/2022 9:15,105.1,74.07
189,9/16/2022 9:30,105.5,74.07
190,9/16/2022 9:45,105.5,74.08
191,9/16/2022 10:00,105.5,74.1
192,9/16/2022 10:15,105.5,74.14
193,9/16/2022 10:30,105.9,74.17
194,9/16/2022 10:45,105.5,74.19
195,9/16/2022 11:00,105.9,74.25
196,9/16/2022 11:15,105.9,74.3
197,9/16/2022 11:30,105.9,74.34
198,9/16/2022 11:45,105.9,74.39
199,9/16/2022 12:00,105.9,74.44
200,9/16/2022 12:15,106.3,74.5
201,9/16/2022 12:30,106.3,74.61
202,9/16/2022 12:45,106.7,74.7
203,9/16/2022 13:00,106.7,74.77
204,9/16/2022 13:15,106.6,74.86
205,9/16/2022 13:30,107,74.95
206,9/16/2022 13:45,107.4,75.11
207,9/16/2022 14:00,107.4,75.18
208,9/16/2022 14:15,107.4,75.31
209,9/16/2022 14:30,107.4,75.38
210,9/16/2022 14:45,107.8,75.42
211,9/16/2022 15:00,107.8,75.47
212,9/16/2022 15:15,108.1,75.49
213,9/16/2022 15:30,108.1,75.54
214,9/16/2022 15:45,107.8,75.6
215,9/16/2022 16:00,108.1,75.63
216,9/16/2022 16:15,108.1,75.69
217,9/16/2022 16:30,108.1,75.72
218,9/16/2022 16:45,108.5,75.78
219,9/16/2022 17:00,108.5,75.83
220,9/16/2022 17:15,108.9,75.87
221,9/16/2022 17:30,108.5,75.92
222,9/16/2022 17:45,108.9,75.96
223,9/16/2022 18:00,109.3,75.99
224,9/16/2022 18:15,109.7,75.99
225,9/16/2022 18:30,109.3,75.99
226,9/16/2022 18:45,109.3,75.96
227,9/16/2022 19:00,108.9,75.94
228,9/16/2022 19:15,109.3,75.9
229,9/16/2022 19:30,109.3,75.87
230,9/16/2022 19:45,109.3,75.83
231,9/16/2022 20:00,109.3,75.79
232,9/16/2022 20:15,109.3,75.76
233,9/16/2022 20:30,109.3,75.7
234,9/16/2022 20:45,109.3,75.69
235,9/16/2022 21:00,109.3,75.63
236,9/16/2022 21:15,109.3,75.61
237,9/16/2022 21:30,109.3,75.56
238,9/16/2022 21:45,109.3,75.52
239,9/16/2022 22:00,109.3,75.47
240,9/16/2022 22:15,109.7,75.45
241,9/16/2022 22:30,109.3,75.4
242,9/16/2022 22:45,109.3,75.34
243,9/16/2022 23:00,109.3,75.31
244,9/16/2022 23:15,109.3,75.24
245,9/16/2022 23:30,109.7,75.22
246,9/16/2022 23:45,109.7,75.16
247,9/17/2022 0:00,109.7,75.11
248,9/17/2022 0:15,109.3,75.07
249,9/17/2022 0:30,109.3,75.02
250,9/17/2022 0:45,109.3,74.98
251,9/17/2022 1:00,109.3,74.93
252,9/17/2022 1:15,109.3,74.91
253,9/17/2022 1:30,109.7,74.86
254,9/17/2022 1:45,109.3,74.8
255,9/17/2022 2:00,109.4,74.77
256,9/17/2022 2:15,109.4,74.75
257,9/17/2022 2:30,109.4,74.7
258,9/17/2022 2:45,109.4,74.64
259,9/17/2022 3:00,109.4,74.62
260,9/17/2022 3:15,109.4,74.61
261,9/17/2022 3:30,109.4,74.55
262,9/17/2022 3:45,109.4,74.5
263,9/17/2022 4:00,109.4,74.46
264,9/17/2022 4:15,109.4,74.46
265,9/17/2022 4:30,109.4,74.41
266,9/17/2022 4:45,109.4,74.37
267,9/17/2022 5:00,109.4,74.34
268,9/17/2022 5:15,109.4,74.32
269,9/17/2022 5:30,109.4,74.3
270,9/17/2022 5:45,109.4,74.25
271,9/17/2022 6:00,109.4,74.23
272,9/17/2022 6:15,109.4,74.19
273,9/17/2022 6:30,109,74.17
274,9/17/2022 6:45,109.4,74.16
275,9/17/2022 7:00,109.4,74.14
276,9/17/2022 7:15,109.4,74.1
277,9/17/2022 7:30,109.4,74.08
278,9/17/2022 7:45,109.4,74.07
279,9/17/2022 8:00,109.4,74.03
280,9/17/2022 8:15,109.4,74.03
281,9/17/2022 8:30,109.4,74.01
282,9/17/2022 8:45,109.4,74.01
283,9/17/2022 9:00,109.4,74.01
284,9/17/2022 9:15,109.4,74.01
285,9/17/2022 9:30,109.4,74.01
286,9/17/2022 9:45,109.4,74.07
287,9/17/2022 10:00,109.4,74.08
288,9/17/2022 10:15,109.8,74.1
289,9/17/2022 10:30,109.8,74.16
290,9/17/2022 10:45,109.8,74.19
291,9/17/2022 11:00,109.8,74.26
292,9/17/2022 11:15,110.2,74.32
293,9/17/2022 11:30,109.8,74.39
294,9/17/2022 11:45,110.1,74.46
295,9/17/2022 12:00,110.1,74.61
296,9/17/2022 12:15,110.5,74.7
297,9/17/2022 12:30,110.9,74.77
298,9/17/2022 12:45,110.9,74.79
299,9/17/2022 13:00,110.9,74.88
300,9/17/2022 13:15,111.3,74.95
301,9/17/2022 13:30,111.3,75
302,9/17/2022 13:45,111.3,75
303,9/17/2022 14:00,111.3,75.04
304,9/17/2022 14:15,111.6,75.09
305,9/17/2022 14:30,111.6,75.15
306,9/17/2022 14:45,111.6,75.18
307,9/17/2022 15:00,111.6,75.25
308,9/17/2022 15:15,112,75.31
309,9/17/2022 15:30,112,75.4
310,9/17/2022 15:45,112.4,75.45
311,9/17/2022 16:00,112.8,75.54
312,9/17/2022 16:15,112.4,75.61
313,9/17/2022 16:30,112.4,75.65
314,9/17/2022 16:45,112.8,75.72
315,9/17/2022 17:00,112.8,75.76
316,9/17/2022 17:15,112.8,75.76
317,9/17/2022 17:30,112.8,75.78
318,9/17/2022 17:45,112.4,75.79
319,9/17/2022 18:00,112.8,75.83
320,9/17/2022 18:15,112.8,75.85
321,9/17/2022 18:30,113.1,75.85
322,9/17/2022 18:45,113.1,75.87
323,9/17/2022 19:00,113.1,75.87
324,9/17/2022 19:15,112.4,75.85
325,9/17/2022 19:30,112.8,75.85
326,9/17/2022 19:45,112.8,75.83
327,9/17/2022 20:00,112.8,75.79
328,9/17/2022 20:15,112.8,75.78
329,9/17/2022 20:30,112.8,75.76
330,9/17/2022 20:45,112.8,75.7
331,9/17/2022 21:00,112.8,75.65
332,9/17/2022 21:15,112.8,75.61
333,9/17/2022 21:30,112.8,75.54
334,9/17/2022 21:45,112.8,75.52
335,9/17/2022 22:00,112.8,75.45
336,9/17/2022 22:15,112.8,75.4
337,9/17/2022 22:30,112.8,75.33
338,9/17/2022 22:45,112.4,75.25
339,9/17/2022 23:00,112.8,75.22
340,9/17/2022 23:15,112.4,75.15
341,9/17/2022 23:30,112.4,75.09
342,9/17/2022 23:45,112.8,75
343,9/18/2022 0:00,112,74.95
344,9/18/2022 0:15,112.4,74.91
345,9/18/2022 0:30,112.4,74.84
346,9/18/2022 0:45,112.1,74.79
347,9/18/2022 1:00,112.1,74.71
348,9/18/2022 1:15,112.1,74.68
349,9/18/2022 1:30,112.1,74.62
350,9/18/2022 1:45,112.1,74.57
351,9/18/2022 2:00,112.1,74.48
352,9/18/2022 2:15,111.7,74.44
353,9/18/2022 2:30,111.7,74.39
354,9/18/2022 2:45,111.7,74.34
355,9/18/2022 3:00,111.7,74.3
356,9/18/2022 3:15,111.7,74.25
357,9/18/2022 3:30,111.7,74.19
358,9/18/2022 3:45,111.7,74.16
359,9/18/2022 4:00,111.7,74.1
360,9/18/2022 4:15,111.3,74.08
361,9/18/2022 4:30,111.3,74.03
362,9/18/2022 4:45,111.3,74.01
363,9/18/2022 5:00,111.3,73.96
364,9/18/2022 5:15,111.3,73.94
365,9/18/2022 5:30,111.3,73.89
366,9/18/2022 5:45,111.3,73.87
367,9/18/2022 6:00,111.3,73.85
368,9/18/2022 6:15,111.3,73.83
369,9/18/2022 6:30,111.3,73.8
370,9/18/2022 6:45,111.3,73.78
371,9/18/2022 7:00,111.3,73.72
372,9/18/2022 7:15,111.3,73.71
373,9/18/2022 7:30,111.4,73.69
374,9/18/2022 7:45,111.7,73.69
375,9/18/2022 8:00,111.4,73.63
376,9/18/2022 8:15,111.7,73.63
377,9/18/2022 8:30,111.4,73.62
378,9/18/2022 8:45,111.4,73.62
379,9/18/2022 9:00,111.7,73.62
380,9/18/2022 9:15,111.4,73.62
381,9/18/2022 9:30,111.4,73.62
382,9/18/2022 9:45,111.4,73.63
383,9/18/2022 10:00,111.4,73.63
384,9/18/2022 10:15,111.7,73.65
385,9/18/2022 10:30,111.4,73.69
386,9/18/2022 10:45,111.7,73.76
387,9/18/2022 11:00,111.7,73.78
388,9/18/2022 11:15,111.7,73.8
389,9/18/2022 11:30,111.7,73.89
390,9/18/2022 11:45,111.7,73.92
391,9/18/2022 12:00,111.7,73.96
392,9/18/2022 12:15,112.1,74.01
393,9/18/2022 12:30,112.1,74.07
394,9/18/2022 12:45,112.9,74.1
395,9/18/2022 13:00,112.1,74.19
396,9/18/2022 13:15,112.9,74.26
397,9/18/2022 13:30,112.9,74.32
398,9/18/2022 13:45,112.8,74.41
399,9/18/2022 14:00,112.8,74.44
400,9/18/2022 14:15,113.6,74.48
401,9/18/2022 14:30,112.8,74.55
402,9/18/2022 14:45,112.8,74.61
403,9/18/2022 15:00,113.2,74.62
404,9/18/2022 15:15,113.2,74.64
405,9/18/2022 15:30,113.2,74.7
406,9/18/2022 15:45,113.2,74.77
407,9/18/2022 16:00,113.6,74.8
408,9/18/2022 16:15,113.2,74.86
409,9/18/2022 16:30,113.2,74.93
410,9/18/2022 16:45,113.6,74.98
411,9/18/2022 17:00,113.2,75.02
412,9/18/2022 17:15,113.2,75.09
413,9/18/2022 17:30,113.6,75.15
414,9/18/2022 17:45,113.6,75.15
415,9/18/2022 18:00,113.6,75.15
416,9/18/2022 18:15,113.6,75.15
417,9/18/2022 18:30,113.6,75.16
418,9/18/2022 18:45,114,75.16
419,9/18/2022 19:00,113.6,75.16
420,9/18/2022 19:15,114,75.15
421,9/18/2022 19:30,113.6,75.15
422,9/18/2022 19:45,114,75.15
423,9/18/2022 20:00,113.6,75.11
424,9/18/2022 20:15,113.6,75.11
425,9/18/2022 20:30,113.6,75.11
426,9/18/2022 20:45,113.2,75.11
427,9/18/2022 21:00,113.2,75.09
428,9/18/2022 21:15,113.2,75.07
429,9/18/2022 21:30,113.2,75.04
430,9/18/2022 21:45,113.2,75.02
431,9/18/2022 22:00,114,74.98
432,9/18/2022 22:15,113.2,74.95
433,9/18/2022 22:30,113.2,74.91
434,9/18/2022 22:45,113.2,74.88
435,9/18/2022 23:00,113.2,74.84
436,9/18/2022 23:15,112.8,74.79
437,9/18/2022 23:30,113.2,74.77
438,9/18/2022 23:45,112.8,74.71
439,9/19/2022 0:00,113.2,74.68
440,9/19/2022 0:15,113.2,74.62
441,9/19/2022 0:30,112.8,74.61
442,9/19/2022 0:45,113.2,74.55
443,9/19/2022 1:00,112.8,74.53
444,9/19/2022 1:15,112.8,74.5
445,9/19/2022 1:30,112.8,74.46
446,9/19/2022 1:45,112.8,74.44
447,9/19/2022 2:00,112.8,74.39
448,9/19/2022 2:15,112.8,74.39
449,9/19/2022 2:30,112.9,74.34
450,9/19/2022 2:45,113.6,74.32
451,9/19/2022 3:00,113.2,74.3
452,9/19/2022 3:15,112.9,74.26
453,9/19/2022 3:30,112.9,74.26
454,9/19/2022 3:45,112.9,74.25
455,9/19/2022 4:00,113.2,74.23
456,9/19/2022 4:15,112.9,74.19
457,9/19/2022 4:30,112.5,74.17
458,9/19/2022 4:45,112.9,74.17
459,9/19/2022 5:00,112.5,74.16
460,9/19/2022 5:15,112.9,74.16
461,9/19/2022 5:30,112.5,74.14
462,9/19/2022 5:45,112.9,74.14
463,9/19/2022 6:00,112.9,74.1
464,9/19/2022 6:15,112.9,74.1
465,9/19/2022 6:30,112.9,74.08
466,9/19/2022 6:45,112.5,74.08
467,9/19/2022 7:00,112.9,74.07
468,9/19/2022 7:15,112.5,74.07
469,9/19/2022 7:30,112.9,74.01
470,9/19/2022 7:45,113.3,74.03
471,9/19/2022 8:00,113.3,74.01
472,9/19/2022 8:15,112.9,74.01
473,9/19/2022 8:30,112.9,73.99
474,9/19/2022 8:45,112.1,73.99
475,9/19/2022 9:00,112.5,73.99
476,9/19/2022 9:15,112.5,73.99
477,9/19/2022 9:30,112.9,73.99
478,9/19/2022 9:45,112.9,74.01
479,9/19/2022 10:00,112.5,74.01
480,9/19/2022 10:15,112.9,74.03
481,9/19/2022 10:30,112.9,74.03
482,9/19/2022 10:45,112.9,74.07
483,9/19/2022 11:00,112.9,74.08
484,9/19/2022 11:15,112.9,74.1
485,9/19/2022 11:30,112.9,74.14
486,9/19/2022 11:45,113.3,74.16
487,9/19/2022 12:00,113.2,74.23
488,9/19/2022 12:15,113.2,74.3
489,9/19/2022 12:30,113.6,74.34
490,9/19/2022 12:45,113.2,74.41
491,9/19/2022 13:00,113.2,74.46
492,9/19/2022 13:15,113.2,74.57
493,9/19/2022 13:30,113.6,74.62
494,9/19/2022 13:45,113.6,74.71
495,9/19/2022 14:00,113.6,74.77
496,9/19/2022 14:15,113.6,74.86
497,9/19/2022 14:30,114,74.95
498,9/19/2022 14:45,114,75.04
499,9/19/2022 15:00,114.3,75.15
500,9/19/2022 15:15,114.3,75.24
501,9/19/2022 15:30,114.7,75.34
502,9/19/2022 15:45,114.7,75.47
503,9/19/2022 16:00,114.7,75.56
504,9/19/2022 16:15,115.1,75.69
505,9/19/2022 16:30,115.1,75.83
506,9/19/2022 16:45,115.8,75.92
507,9/19/2022 17:00,115.1,76.01
508,9/19/2022 17:15,115.4,76.08
509,9/19/2022 17:30,116.2,76.15
510,9/19/2022 17:45,116.6,76.23
511,9/19/2022 18:00,116.2,76.26
512,9/19/2022 18:15,116.2,76.33
513,9/19/2022 18:30,116.2,76.41
514,9/19/2022 18:45,117,76.5
515,9/19/2022 19:00,116.9,76.57
516,9/19/2022 19:15,116.9,76.6
517,9/19/2022 19:30,117.3,76.64
518,9/19/2022 19:45,117.3,76.69
519,9/19/2022 20:00,117.3,76.69
520,9/19/2022 20:15,117.3,76.69
521,9/19/2022 20:30,117.7,76.69
522,9/19/2022 20:45,117.7,76.68
523,9/19/2022 21:00,117.7,76.64
524,9/19/2022 21:15,117.7,76.62
525,9/19/2022 21:30,117.3,76.57
526,9/19/2022 21:45,117.7,76.53
527,9/19/2022 22:00,117.7,76.48
528,9/19/2022 22:15,117.3,76.44
529,9/19/2022 22:30,117.7,76.39
530,9/19/2022 22:45,117.7,76.32
531,9/19/2022 23:00,118.1,76.24
532,9/19/2022 23:15,118.1,76.19
533,9/19/2022 23:30,117.8,76.14
534,9/19/2022 23:45,117.8,76.06
535,9/20/2022 0:00,117.4,75.99
536,9/20/2022 0:15,117.4,75.92
537,9/20/2022 0:30,117.8,75.85
538,9/20/2022 0:45,117,75.79
539,9/20/2022 1:00,117.4,75.72
540,9/20/2022 1:15,117.4,75.65
541,9/20/2022 1:30,117.8,75.6
542,9/20/2022 1:45,117.4,75.52
543,9/20/2022 2:00,117.4,75.47
544,9/20/2022 2:15,117,75.4
545,9/20/2022 2:30,117,75.33
546,9/20/2022 2:45,117,75.25
547,9/20/2022 3:00,117,75.22
548,9/20/2022 3:15,117.4,75.15
549,9/20/2022 3:30,116.7,75.09
550,9/20/2022 3:45,117.4,75.02
551,9/20/2022 4:00,117.1,74.98
552,9/20/2022 4:15,117.1,74.93
553,9/20/2022 4:30,117.1,74.88
554,9/20/2022 4:45,116.3,74.84
555,9/20/2022 5:00,116.3,74.8
556,9/20/2022 5:15,116.3,74.77
557,9/20/2022 5:30,115.5,74.75
558,9/20/2022 5:45,115.5,74.71
559,9/20/2022 6:00,115.9,74.68
560,9/20/2022 6:15,115.9,74.64
561,9/20/2022 6:30,115.9,74.62
562,9/20/2022 6:45,115.5,74.61
563,9/20/2022 7:00,115.9,74.57
564,9/20/2022 7:15,115.2,74.55
565,9/20/2022 7:30,115.5,74.53
566,9/20/2022 7:45,115.5,74.5
567,9/20/2022 8:00,115.5,74.48
568,9/20/2022 8:15,115.5,74.48
569,9/20/2022 8:30,115.5,74.46
570,9/20/2022 8:45,115.2,74.46
571,9/20/2022 9:00,114.8,74.46
572,9/20/2022 9:15,115.2,74.46
573,9/20/2022 9:30,114.8,74.46
574,9/20/2022 9:45,115.2,74.46
575,9/20/2022 10:00,115.5,74.46
576,9/20/2022 10:15,115.2,74.5
577,9/20/2022 10:30,115.2,74.53
578,9/20/2022 10:45,115.2,74.57
579,9/20/2022 11:00,115.9,74.61
580,9/20/2022 11:15,115.1,74.68
581,9/20/2022 11:30,115.1,74.77
582,9/20/2022 11:45,115.9,74.84
583,9/20/2022 12:00,116.3,74.93
584,9/20/2022 12:15,116.3,74.98
585,9/20/2022 12:30,115.5,75.02
586,9/20/2022 12:45,115.5,75.11
587,9/20/2022 13:00,116.3,75.24
588,9/20/2022 13:15,116.3,75.38
589,9/20/2022 13:30,117,75.49
590,9/20/2022 13:45,116.2,75.61
591,9/20/2022 14:00,116.2,75.7
592,9/20/2022 14:15,117,75.83
593,9/20/2022 14:30,117.8,75.94
594,9/20/2022 14:45,118.1,76.01
595,9/20/2022 15:00,117.4,76.1
596,9/20/2022 15:15,118.1,76.19
597,9/20/2022 15:30,118.1,76.32
598,9/20/2022 15:45,118.1,76.41
599,9/20/2022 16:00,118.5,76.55
600,9/20/2022 16:15,119.3,76.62
601,9/20/2022 16:30,119.3,76.75
602,9/20/2022 16:45,119.2,76.84
603,9/20/2022 17:00,119.2,76.91
604,9/20/2022 17:15,119.2,76.93
605,9/20/2022 17:30,119.2,76.98
606,9/20/2022 17:45,120.4,77.07
607,9/20/2022 18:00,119.2,77.11
608,9/20/2022 18:15,119.2,77.18
609,9/20/2022 18:30,120.4,77.25
610,9/20/2022 18:45,120.4,77.32
611,9/20/2022 19:00,119.6,77.38
612,9/20/2022 19:15,120,77.41
613,9/20/2022 19:30,120,77.47
614,9/20/2022 19:45,120.4,77.47
615,9/20/2022 20:00,120,77.45
616,9/20/2022 20:15,120.4,77.41
617,9/20/2022 20:30,120.4,77.38
618,9/20/2022 20:45,120.4,77.32
619,9/20/2022 21:00,120.8,77.25
620,9/20/2022 21:15,119.6,77.18
621,9/20/2022 21:30,120.4,77.11
622,9/20/2022 21:45,120.4,77.02
623,9/20/2022 22:00,119.2,76.95
624,9/20/2022 22:15,119.2,76.87
625,9/20/2022 22:30,118.9,76.78
626,9/20/2022 22:45,118.9,76.69
627,9/20/2022 23:00,118.5,76.62
628,9/20/2022 23:15,118.5,76.53
629,9/20/2022 23:30,118.5,76.41
630,9/20/2022 23:45,118.5,76.32
631,9/21/2022 0:00,118.5,76.23
632,9/21/2022 0:15,118.1,76.14
633,9/21/2022 0:30,118.1,76.01
634,9/21/2022 0:45,118.5,75.92
635,9/21/2022 1:00,118.5,75.83
636,9/21/2022 1:15,118.2,75.7
637,9/21/2022 1:30,117.8,75.61
638,9/21/2022 1:45,117.8,75.52
639,9/21/2022 2:00,118.2,75.42
640,9/21/2022 2:15,117.8,75.33
641,9/21/2022 2:30,117.8,75.24
642,9/21/2022 2:45,117.4,75.15
643,9/21/2022 3:00,117.4,75.07
644,9/21/2022 3:15,117.4,74.95
645,9/21/2022 3:30,117.5,74.88
646,9/21/2022 3:45,117.5,74.77
647,9/21/2022 4:00,117.1,74.68
648,9/21/2022 4:15,117.1,74.62
649,9/21/2022 4:30,117.1,74.53
650,9/21/2022 4:45,117.1,74.44
651,9/21/2022 5:00,116.7,74.37
652,9/21/2022 5:15,116.7,74.3
653,9/21/2022 5:30,116.3,74.23
654,9/21/2022 5:45,116.3,74.16
655,9/21/2022 6:00,116.3,74.08
656,9/21/2022 6:15,116.7,74.01
657,9/21/2022 6:30,116.4,73.96
658,9/21/2022 6:45,116,73.89
659,9/21/2022 7:00,116.4,73.83
660,9/21/2022 7:15,116,73.78
661,9/21/2022 7:30,116,73.72
662,9/21/2022 7:45,116.4,73.65
663,9/21/2022 8:00,116,73.62
