"Plot Title: DG3"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342066, SEN S/N: 20342066)","Full Range, μS/cm (LGR S/N: 20342066, SEN S/N: 20342066)","Temp, °F (LGR S/N: 20342066, SEN S/N: 20342066)","Coupler Detached (LGR S/N: 20342066, SEN S/N: 20342066)","Coupler Attached (LGR S/N: 20342066, SEN S/N: 20342066)","Host Connected (LGR S/N: 20342066, SEN S/N: 20342066)","Stopped (LGR S/N: 20342066, SEN S/N: 20342066)","End Of File (LGR S/N: 20342066, SEN S/N: 20342066)"
28,04/02/25 12:16:55 PM,0.6,-3.6,85.96,,,,,
29,04/02/25 12:17:05 PM,0.6,-1.4,86.13,,,,,
30,04/02/25 12:17:15 PM,0.6,-3.6,86.67,,,,,
31,04/02/25 12:17:25 PM,0.6,-3.6,87.30,,,,,
32,04/02/25 12:17:35 PM,0.6,-1.4,87.62,,,,,
33,04/02/25 12:17:45 PM,0.6,-1.4,87.73,,,,,
34,04/02/25 12:17:55 PM,0.6,-1.4,87.85,,,,,
35,04/02/25 12:18:05 PM,0.6,-1.4,88.02,,,,,
36,04/02/25 12:18:15 PM,0.6,-3.6,88.09,,,,,
37,04/02/25 12:18:25 PM,0.6,-1.4,87.87,,,,,
38,04/02/25 12:18:35 PM,0.6,-3.6,87.85,,,,,
39,04/02/25 12:18:45 PM,0.6,-3.6,87.71,,,,,
40,04/02/25 12:18:55 PM,0.6,-0.7,87.62,,,,,
41,04/02/25 12:19:05 PM,0.6,-3.6,87.55,,,,,
42,04/02/25 12:19:15 PM,0.6,-1.4,87.48,,,,,
43,04/02/25 12:19:25 PM,0.6,-1.4,87.48,,,,,
44,04/02/25 12:19:35 PM,0.6,-1.4,87.44,,,,,
45,04/02/25 12:19:45 PM,0.6,-1.4,87.44,,,,,
46,04/02/25 12:19:55 PM,0.6,-1.4,87.46,,,,,
47,04/02/25 12:20:05 PM,0.6,-1.4,87.44,,,,,
48,04/02/25 12:20:15 PM,0.6,-1.4,87.44,,,,,
49,04/02/25 12:20:25 PM,0.6,-1.4,87.46,,,,,
50,04/02/25 12:20:35 PM,0.6,-1.4,87.40,,,,,
51,04/02/25 12:20:45 PM,0.6,-1.4,87.40,,,,,
52,04/02/25 12:20:55 PM,0.6,-3.6,87.53,,,,,
53,04/02/25 12:21:05 PM,0.6,-1.4,87.49,,,,,
54,04/02/25 12:21:15 PM,0.6,-1.4,87.58,,,,,
55,04/02/25 12:21:25 PM,1.8,-1.4,87.55,,,,,
56,04/02/25 12:21:35 PM,0.7,-3.6,87.48,,,,,
57,04/02/25 12:21:45 PM,40.2,36.4,74.16,,,,,
58,04/02/25 12:21:55 PM,65.3,62.5,71.69,,,,,
59,04/02/25 12:22:05 PM,65.3,62.8,71.40,,,,,
60,04/02/25 12:22:15 PM,65.4,62.8,71.26,,,,,
61,04/02/25 12:22:25 PM,65.4,63.2,71.17,,,,,
62,04/02/25 12:22:35 PM,65.4,62.9,71.11,,,,,
63,04/02/25 12:22:45 PM,65.4,62.9,71.06,,,,,
64,04/02/25 12:22:55 PM,65.4,62.9,70.95,,,,,
65,04/02/25 12:23:05 PM,65.4,62.9,70.93,,,,,
66,04/02/25 12:23:15 PM,65.4,62.9,70.92,,,,,
67,04/02/25 12:23:25 PM,65.4,63.2,70.77,,,,,
68,04/02/25 12:23:35 PM,65.4,62.9,70.74,,,,,
69,04/02/25 12:23:45 PM,65.4,62.9,70.70,,,,,
70,04/02/25 12:23:55 PM,65.4,62.9,70.66,,,,,
71,04/02/25 12:24:05 PM,65.5,62.9,70.65,,,,,
72,04/02/25 12:24:15 PM,65.4,62.9,70.61,,,,,
73,04/02/25 12:24:25 PM,65.4,62.9,70.59,,,,,
74,04/02/25 12:24:35 PM,65.4,62.9,70.57,,,,,
75,04/02/25 12:24:45 PM,65.4,62.9,70.57,,,,,
76,04/02/25 12:24:55 PM,65.4,62.9,70.57,,,,,
77,04/02/25 12:25:05 PM,65.4,62.9,70.57,,,,,
78,04/02/25 12:25:15 PM,65.4,62.9,70.52,,,,,
79,04/02/25 12:25:25 PM,65.5,62.9,70.56,,,,,
80,04/02/25 12:25:35 PM,65.4,62.9,70.52,,,,,
81,04/02/25 12:25:45 PM,65.4,62.9,70.52,,,,,
82,04/02/25 12:25:55 PM,65.4,62.9,70.52,,,,,
83,04/02/25 12:26:05 PM,65.4,62.9,70.52,,,,,
84,04/02/25 12:26:15 PM,65.5,62.9,70.50,,,,,
85,04/02/25 12:26:25 PM,65.4,62.9,70.50,,,,,
86,04/02/25 12:26:35 PM,65.5,62.9,70.50,,,,,
87,04/02/25 12:26:45 PM,65.5,62.9,70.50,,,,,
88,04/02/25 12:26:55 PM,65.5,62.9,70.48,,,,,
89,04/02/25 12:27:05 PM,65.4,62.9,70.50,,,,,
90,04/02/25 12:27:15 PM,65.5,62.9,70.48,,,,,
91,04/02/25 12:27:25 PM,65.5,62.9,70.50,,,,,
92,04/02/25 12:27:35 PM,65.5,62.9,70.50,,,,,
93,04/02/25 12:27:45 PM,65.6,62.9,70.50,,,,,
94,04/02/25 12:27:55 PM,68.6,66.2,70.50,,,,,
95,04/02/25 12:28:05 PM,72.1,69.8,70.52,,,,,
96,04/02/25 12:28:15 PM,77.3,75.0,70.52,,,,,
97,04/02/25 12:28:25 PM,82.2,80.1,70.52,,,,,
98,04/02/25 12:28:35 PM,82.0,80.1,70.52,,,,,
99,04/02/25 12:28:45 PM,80.8,79.0,70.52,,,,,
100,04/02/25 12:28:55 PM,80.6,78.6,70.52,,,,,
101,04/02/25 12:29:05 PM,83.2,81.6,70.52,,,,,
102,04/02/25 12:29:15 PM,84.9,83.0,70.56,,,,,
103,04/02/25 12:29:25 PM,84.1,82.3,70.56,,,,,
104,04/02/25 12:29:35 PM,82.5,80.5,70.56,,,,,
105,04/02/25 12:29:45 PM,81.1,79.0,70.56,,,,,
106,04/02/25 12:29:55 PM,79.9,77.9,70.56,,,,,
107,04/02/25 12:30:05 PM,79.3,77.5,70.56,,,,,
108,04/02/25 12:30:15 PM,79.5,77.5,70.57,,,,,
109,04/02/25 12:30:25 PM,79.6,77.5,70.57,,,,,
110,04/02/25 12:30:35 PM,79.8,77.9,70.57,,,,,
111,04/02/25 12:30:45 PM,80.1,77.9,70.57,,,,,
112,04/02/25 12:30:55 PM,80.4,78.3,70.59,,,,,
113,04/02/25 12:31:05 PM,80.5,78.6,70.57,,,,,
114,04/02/25 12:31:15 PM,80.4,78.3,70.59,,,,,
115,04/02/25 12:31:25 PM,80.6,78.6,70.59,,,,,
116,04/02/25 12:31:35 PM,80.9,79.0,70.59,,,,,
117,04/02/25 12:31:45 PM,81.8,79.7,70.59,,,,,
118,04/02/25 12:31:55 PM,82.0,79.7,70.59,,,,,
119,04/02/25 12:32:05 PM,82.1,80.5,70.59,,,,,
120,04/02/25 12:32:15 PM,82.4,80.5,70.59,,,,,
121,04/02/25 12:32:25 PM,82.4,80.5,70.59,,,,,
122,04/02/25 12:32:35 PM,82.5,80.5,70.61,,,,,
123,04/02/25 12:32:45 PM,82.9,81.2,70.59,,,,,
124,04/02/25 12:32:55 PM,83.0,81.2,70.61,,,,,
125,04/02/25 12:33:05 PM,83.0,81.2,70.61,,,,,
126,04/02/25 12:33:15 PM,83.6,81.9,70.63,,,,,
127,04/02/25 12:33:25 PM,83.5,81.6,70.63,,,,,
128,04/02/25 12:33:35 PM,83.1,81.2,70.63,,,,,
129,04/02/25 12:33:45 PM,82.5,80.5,70.65,,,,,
130,04/02/25 12:33:55 PM,82.5,80.5,70.63,,,,,
131,04/02/25 12:34:05 PM,82.3,80.5,70.63,,,,,
132,04/02/25 12:34:15 PM,81.9,79.7,70.63,,,,,
133,04/02/25 12:34:25 PM,80.7,78.6,70.65,,,,,
134,04/02/25 12:34:35 PM,81.5,79.4,70.65,,,,,
135,04/02/25 12:34:45 PM,81.4,79.4,70.65,,,,,
136,04/02/25 12:34:55 PM,81.4,79.4,70.65,,,,,
137,04/02/25 12:35:05 PM,80.8,78.6,70.65,,,,,
138,04/02/25 12:35:15 PM,80.3,78.3,70.65,,,,,
139,04/02/25 12:35:25 PM,80.0,77.9,70.65,,,,,
140,04/02/25 12:35:35 PM,79.7,77.5,70.65,,,,,
141,04/02/25 12:35:45 PM,79.3,77.2,70.65,,,,,
142,04/02/25 12:35:55 PM,79.2,77.2,70.65,,,,,
143,04/02/25 12:36:05 PM,78.6,76.8,70.65,,,,,
144,04/02/25 12:36:15 PM,78.3,76.1,70.65,,,,,
145,04/02/25 12:36:25 PM,78.0,76.1,70.65,,,,,
146,04/02/25 12:36:35 PM,78.2,76.1,70.66,,,,,
147,04/02/25 12:36:45 PM,77.8,75.7,70.66,,,,,
148,04/02/25 12:36:55 PM,77.7,76.1,70.66,,,,,
149,04/02/25 12:37:05 PM,77.6,75.3,70.66,,,,,
150,04/02/25 12:37:15 PM,76.8,74.6,70.70,,,,,
151,04/02/25 12:37:25 PM,76.9,75.0,70.70,,,,,
152,04/02/25 12:37:35 PM,77.2,75.0,70.70,,,,,
153,04/02/25 12:37:45 PM,76.7,74.2,70.70,,,,,
154,04/02/25 12:37:55 PM,76.2,73.9,70.70,,,,,
155,04/02/25 12:38:05 PM,76.0,73.9,70.72,,,,,
156,04/02/25 12:38:15 PM,76.5,74.2,70.70,,,,,
157,04/02/25 12:38:25 PM,76.2,73.9,70.72,,,,,
158,04/02/25 12:38:35 PM,75.6,73.1,70.72,,,,,
159,04/02/25 12:38:45 PM,75.9,73.9,70.72,,,,,
160,04/02/25 12:38:55 PM,75.2,72.8,70.72,,,,,
161,04/02/25 12:39:05 PM,75.1,72.8,70.74,,,,,
162,04/02/25 12:39:15 PM,75.1,72.8,70.74,,,,,
163,04/02/25 12:39:25 PM,75.1,72.8,70.74,,,,,
164,04/02/25 12:39:35 PM,74.3,71.7,70.74,,,,,
165,04/02/25 12:39:45 PM,74.1,71.7,70.75,,,,,
166,04/02/25 12:39:55 PM,73.8,71.3,70.75,,,,,
167,04/02/25 12:40:05 PM,73.8,71.3,70.75,,,,,
168,04/02/25 12:40:15 PM,73.2,70.9,70.75,,,,,
169,04/02/25 12:40:25 PM,73.3,70.9,70.75,,,,,
170,04/02/25 12:40:35 PM,73.0,70.6,70.77,,,,,
171,04/02/25 12:40:45 PM,73.0,70.6,70.77,,,,,
172,04/02/25 12:40:55 PM,72.7,70.2,70.77,,,,,
173,04/02/25 12:41:05 PM,72.3,69.8,70.77,,,,,
174,04/02/25 12:41:15 PM,72.3,69.8,70.79,,,,,
175,04/02/25 12:41:25 PM,72.3,69.8,70.77,,,,,
176,04/02/25 12:41:35 PM,72.5,70.2,70.79,,,,,
177,04/02/25 12:41:45 PM,72.3,69.8,70.77,,,,,
178,04/02/25 12:41:55 PM,72.3,69.8,70.77,,,,,
179,04/02/25 12:42:05 PM,72.1,69.8,70.79,,,,,
180,04/02/25 12:42:15 PM,71.7,69.5,70.79,,,,,
181,04/02/25 12:42:25 PM,71.4,69.1,70.79,,,,,
182,04/02/25 12:42:35 PM,71.5,69.1,70.79,,,,,
183,04/02/25 12:42:45 PM,71.4,69.1,70.79,,,,,
184,04/02/25 12:42:55 PM,71.0,68.4,70.79,,,,,
185,04/02/25 12:43:05 PM,70.9,68.4,70.81,,,,,
186,04/02/25 12:43:15 PM,71.0,68.4,70.81,,,,,
187,04/02/25 12:43:25 PM,70.8,68.0,70.81,,,,,
188,04/02/25 12:43:35 PM,70.8,68.0,70.81,,,,,
189,04/02/25 12:43:45 PM,70.8,68.0,70.79,,,,,
190,04/02/25 12:43:55 PM,70.6,68.0,70.81,,,,,
191,04/02/25 12:44:05 PM,70.7,68.0,70.79,,,,,
192,04/02/25 12:44:15 PM,18.7,13.0,71.01,,,,,
193,04/02/25 12:44:25 PM,25.3,20.3,71.58,,,,,
194,04/02/25 12:44:35 PM,25.8,21.0,71.98,,,,,
195,04/02/25 12:44:45 PM,24.8,19.6,71.98,,,,,
196,04/02/25 12:44:55 PM,24.7,19.6,72.10,,,,,
197,04/02/25 12:45:05 PM,24.5,19.2,72.32,,,,,
198,04/02/25 12:45:15 PM,22.2,15.5,72.34,,,,,
199,04/02/25 12:45:25 PM,26.0,20.7,73.24,,,,,
200,04/02/25 12:45:35 PM,25.9,20.6,74.66,,,,,
201,04/02/25 12:45:45 PM,25.2,20.3,74.37,,,,,
202,04/02/25 12:45:55 PM,27.4,22.5,74.26,,,,,
203,04/02/25 12:46:05 PM,27.4,22.8,74.21,,,,,
204,04/02/25 12:46:15 PM,27.6,22.5,74.41,,,,,
205,04/02/25 12:46:25 PM,27.6,22.5,74.39,,,,,
206,04/02/25 12:46:35 PM,26.3,21.4,74.61,,,,,
207,04/02/25 12:46:45 PM,27.2,22.5,75.43,,,,,
208,04/02/25 12:46:55 PM,27.2,22.5,75.29,,,,,
209,04/02/25 12:47:05 PM,27.4,22.5,75.27,,,,,
210,04/02/25 12:47:15 PM,27.4,22.5,75.27,,,,,
211,04/02/25 12:47:25 PM,28.2,22.5,75.25,,,,,
212,04/02/25 12:47:35 PM,27.7,22.8,75.40,,,,,
213,04/02/25 12:47:45 PM,27.6,22.5,75.47,,,,,
214,04/02/25 12:47:55 PM,24.6,22.5,75.61,,,,,
215,04/02/25 12:48:05 PM,27.1,22.1,75.65,,,,,
216,04/02/25 12:48:15 PM,27.1,22.4,75.83,,,,,
217,04/02/25 12:48:25 PM,27.2,22.4,75.97,,,,,
218,04/02/25 12:48:35 PM,27.2,22.4,76.10,,,,,
219,04/02/25 12:48:45 PM,27.3,22.4,76.21,,,,,
220,04/02/25 12:48:55 PM,27.3,22.4,76.33,,,,,
221,04/02/25 12:49:05 PM,27.2,22.4,76.42,,,,,
222,04/02/25 12:49:15 PM,27.4,22.4,76.53,,,,,
223,04/02/25 12:49:25 PM,27.2,22.4,76.62,,,,,
224,04/02/25 12:49:35 PM,27.2,22.4,76.71,,,,,
225,04/02/25 12:49:45 PM,27.3,22.4,76.82,,,,,
226,04/02/25 12:49:55 PM,27.4,22.4,76.89,,,,,
227,04/02/25 12:50:05 PM,27.1,22.4,77.00,,,,,
228,04/02/25 12:50:15 PM,27.4,22.4,77.11,,,,,
229,04/02/25 12:50:25 PM,27.2,22.4,77.18,,,,,
230,04/02/25 12:50:35 PM,27.2,23.5,77.29,,,,,
231,04/02/25 12:50:45 PM,27.5,22.4,77.41,,,,,
232,04/02/25 12:50:55 PM,27.4,22.4,77.52,,,,,
233,04/02/25 12:51:05 PM,27.7,23.1,77.59,,,,,
234,04/02/25 12:51:15 PM,27.4,22.4,77.70,,,,,
235,04/02/25 12:51:25 PM,27.4,22.8,77.77,,,,,
236,04/02/25 12:51:35 PM,27.5,22.4,77.86,,,,,
237,04/02/25 12:51:45 PM,27.2,23.5,77.95,,,,,
238,04/02/25 12:51:55 PM,28.8,22.8,78.06,,,,,
239,04/02/25 12:52:05 PM,27.6,22.8,78.15,,,,,
240,04/02/25 12:52:15 PM,27.4,22.4,78.21,,,,,
241,04/02/25 12:52:25 PM,27.9,22.4,78.31,,,,,
242,04/02/25 12:52:35 PM,27.8,23.1,78.40,,,,,
243,04/02/25 12:52:45 PM,27.8,22.8,78.49,,,,,
244,04/02/25 12:52:55 PM,27.8,23.1,78.53,,,,,
245,04/02/25 12:53:05 PM,27.8,23.1,78.62,,,,,
246,04/02/25 12:53:15 PM,27.8,23.1,78.67,,,,,
247,04/02/25 12:53:25 PM,27.8,23.1,78.71,,,,,
248,04/02/25 12:53:35 PM,27.8,22.8,78.78,,,,,
249,04/02/25 12:53:45 PM,27.8,22.8,78.76,,,,,
250,04/02/25 12:53:55 PM,27.8,23.1,78.78,,,,,
251,04/02/25 12:54:05 PM,27.8,23.1,78.80,,,,,
252,04/02/25 12:54:15 PM,27.8,22.8,78.82,,,,,
253,04/02/25 12:54:25 PM,27.7,22.8,78.89,,,,,
254,04/02/25 12:54:35 PM,27.6,23.1,78.82,,,,,
255,04/02/25 12:54:45 PM,24.0,19.1,78.94,,,,,
256,04/02/25 12:54:55 PM,22.4,13.6,78.31,,,,,
257,04/02/25 12:55:05 PM,21.7,15.5,78.98,,,,,
258,04/02/25 12:55:15 PM,23.3,18.7,79.34,,,,,
259,04/02/25 12:55:25 PM,21.7,16.2,79.20,,,,,
260,04/02/25 12:55:35 PM,26.3,21.7,79.05,,,,,
261,04/02/25 12:55:45 PM,23.2,18.0,78.91,,,,,
262,04/02/25 12:55:55 PM,9.6,4.1,79.43,,,,,
263,04/02/25 12:56:05 PM,7.3,1.2,79.59,,,,,
264,04/02/25 12:56:15 PM,6.4,0.5,79.90,,,,,
265,04/02/25 12:56:25 PM,6.1,0.1,80.13,,,,,
266,04/02/25 12:56:35 PM,5.7,-0.3,80.15,,,,,
267,04/02/25 12:56:45 PM,5.4,-0.3,79.99,,,,,
268,04/02/25 12:56:55 PM,5.3,-0.3,79.95,,,,,
269,04/02/25 12:57:05 PM,5.3,-0.3,80.10,,,,,
270,04/02/25 12:57:15 PM,5.3,-0.3,80.40,,,,,
271,04/02/25 12:57:25 PM,5.2,-0.6,80.64,,,,,
272,04/02/25 12:57:35 PM,5.2,-1.0,80.87,,,,,
273,04/02/25 12:57:45 PM,5.2,-0.6,81.12,,,,,
274,04/02/25 12:57:55 PM,5.1,-0.6,81.23,,,,,
275,04/02/25 12:58:05 PM,5.0,-0.6,81.36,,,,,
276,04/02/25 12:58:15 PM,5.0,-1.0,81.34,,,,,
277,04/02/25 12:58:25 PM,4.9,-1.0,81.28,,,,,
278,04/02/25 12:58:35 PM,4.8,-0.6,81.36,,,,,
279,04/02/25 12:58:45 PM,4.7,-1.0,80.47,,,,,
280,04/02/25 12:58:55 PM,4.3,-1.4,80.10,,,,,
281,04/02/25 12:59:05 PM,4.0,-1.7,80.10,,,,,
282,04/02/25 12:59:15 PM,3.9,-2.1,80.35,,,,,
283,04/02/25 12:59:25 PM,3.8,-2.1,80.56,,,,,
284,04/02/25 12:59:35 PM,3.8,-2.1,80.71,,,,,
285,04/02/25 12:59:45 PM,3.6,-2.1,80.64,,,,,
286,04/02/25 12:59:55 PM,3.6,-2.5,80.92,,,,,
287,04/02/25 01:00:05 PM,3.4,-2.5,81.10,,,,,
288,04/02/25 01:00:15 PM,3.4,-2.5,81.19,,,,,
289,04/02/25 01:00:25 PM,3.3,-2.5,80.94,,,,,
290,04/02/25 01:00:35 PM,3.1,-2.5,80.85,,,,,
291,04/02/25 01:00:45 PM,3.1,-2.8,81.19,,,,,
292,04/02/25 01:00:55 PM,3.0,-3.2,81.16,,,,,
293,04/02/25 01:01:05 PM,3.0,-3.2,81.59,,,,,
294,04/02/25 01:01:15 PM,2.9,-3.2,81.70,,,,,
295,04/02/25 01:01:25 PM,2.8,-3.2,81.52,,,,,
296,04/02/25 01:01:35 PM,2.6,-3.2,81.43,,,,,
297,04/02/25 01:01:45 PM,2.5,-3.6,81.32,,,,,
298,04/02/25 01:01:55 PM,2.3,-3.6,81.23,,,,,
299,04/02/25 01:02:05 PM,2.2,-3.9,81.41,,,,,
300,04/02/25 01:02:15 PM,2.0,-3.9,81.28,,,,,
301,04/02/25 01:02:25 PM,1.8,-3.9,81.09,,,,,
302,04/02/25 01:02:35 PM,1.6,-4.3,81.19,,,,,
303,04/02/25 01:02:45 PM,1.5,-4.3,81.21,,,,,
304,04/02/25 01:02:55 PM,1.4,-4.3,81.34,,,,,
305,04/02/25 01:03:05 PM,1.3,-4.6,81.68,,,,,
306,04/02/25 01:03:15 PM,1.2,-4.6,81.70,,,,,
307,04/02/25 01:03:25 PM,1.1,-4.6,81.55,,,,,
308,04/02/25 01:03:35 PM,1.1,-4.6,81.82,,,,,
309,04/02/25 01:03:45 PM,1.1,-4.6,81.97,,,,,
310,04/02/25 01:03:55 PM,0.9,-4.6,81.93,,,,,
311,04/02/25 01:04:05 PM,0.9,-4.6,82.13,,,,,
312,04/02/25 01:04:15 PM,0.9,-4.6,82.29,,,,,
313,04/02/25 01:04:25 PM,0.8,-4.6,82.38,,,,,
314,04/02/25 01:04:35 PM,0.8,-4.6,82.35,,,,,
315,04/02/25 01:04:45 PM,0.8,-4.6,82.44,,,,,
316,04/02/25 01:04:55 PM,0.8,-4.6,82.53,,,,,
317,04/02/25 01:05:05 PM,0.7,-4.6,82.56,,,,,
318,04/02/25 01:05:15 PM,0.7,-4.6,82.74,,,,,
319,04/02/25 01:05:25 PM,0.7,-4.6,82.80,,,,,
320,04/02/25 01:05:35 PM,0.7,-4.6,82.87,,,,,
321,04/02/25 01:05:45 PM,0.7,-4.6,82.87,,,,,
322,04/02/25 01:05:55 PM,0.7,-4.6,82.92,,,,,
323,04/02/25 01:06:05 PM,0.7,-4.6,82.94,,,,,
324,04/02/25 01:06:15 PM,0.5,-3.9,82.74,,,,,
325,04/02/25 01:06:25 PM,0.5,-2.5,82.63,,,,,
326,04/02/25 01:06:35 PM,0.4,-3.9,82.76,,,,,
327,04/02/25 01:06:45 PM,0.4,-3.9,82.89,,,,,
328,04/02/25 01:06:55 PM,0.4,3.4,82.99,,,,,
329,04/02/25 01:07:05 PM,0.4,-2.5,83.05,,,,,
330,04/02/25 01:07:15 PM,0.3,3.4,83.14,,,,,
331,04/02/25 01:07:25 PM,0.5,-2.5,82.87,,,,,
332,04/02/25 01:07:35 PM,0.2,-2.5,82.98,,,,,
333,04/02/25 01:07:45 PM,0.2,4.5,82.89,,,,,
334,04/02/25 01:07:55 PM,0.2,-2.5,83.01,,,,,
335,04/02/25 01:08:05 PM,0.3,-2.5,83.03,,,,,
336,04/02/25 01:08:15 PM,0.3,3.4,82.94,,,,,
337,04/02/25 01:08:25 PM,0.1,4.5,83.07,,,,,
338,04/02/25 01:08:35 PM,0.2,3.4,82.98,,,,,
339,04/02/25 01:08:45 PM,0.2,3.4,83.05,,,,,
340,04/02/25 01:08:55 PM,0.5,4.5,82.92,,,,,
341,04/02/25 01:09:05 PM,1.9,10.3,82.98,,,,,
342,04/02/25 01:09:15 PM,1.9,10.3,83.03,,,,,
343,04/02/25 01:09:25 PM,19.4,10.3,82.89,,,,,
344,04/02/25 01:09:35 PM,1.8,-1.4,83.07,,,,,
345,04/02/25 01:09:45 PM,1.8,-1.4,83.44,,,,,
346,04/02/25 01:09:55 PM,0.6,-1.4,83.53,,,,,
347,04/02/25 01:10:05 PM,1.8,-0.6,83.61,,,,,
348,04/02/25 01:10:15 PM,0.6,-1.4,83.64,,,,,
349,04/02/25 01:10:25 PM,1.8,-1.4,83.66,,,,,
350,04/02/25 01:10:35 PM,1.8,-1.4,83.70,,,,,
351,04/02/25 01:10:45 PM,0.6,-1.4,83.70,,,,,
352,04/02/25 01:10:55 PM,0.6,-1.4,83.70,,,,,
353,04/02/25 01:11:05 PM,1.8,-1.4,83.73,,,,,
354,04/02/25 01:11:15 PM,0.7,-3.6,83.75,,,,,
355,04/02/25 01:11:25 PM,1.8,-3.6,83.75,,,,,
356,04/02/25 01:11:35 PM,1.8,-3.6,83.77,,,,,
357,04/02/25 01:11:45 PM,0.6,-0.6,83.79,,,,,
358,04/02/25 01:11:55 PM,0.6,-1.4,83.80,,,,,
359,04/02/25 01:12:05 PM,0.6,-3.6,83.79,,,,,
360,04/02/25 01:12:15 PM,0.6,-3.6,83.80,,,,,
361,04/02/25 01:12:25 PM,0.6,-1.4,83.80,,,,,
362,04/02/25 01:12:35 PM,1.8,-1.4,83.84,,,,,
363,04/02/25 01:12:45 PM,0.6,-1.4,83.84,,,,,
364,04/02/25 01:12:55 PM,0.6,-1.4,83.82,,,,,
365,04/02/25 01:13:05 PM,1.8,-1.4,83.80,,,,,
366,04/02/25 01:13:15 PM,0.6,-0.6,83.77,,,,,
367,04/02/25 01:13:25 PM,1.8,-3.6,83.77,,,,,
368,04/02/25 01:13:35 PM,1.8,-3.6,83.77,,,,,
369,04/02/25 01:13:45 PM,0.6,-1.4,83.79,,,,,
370,04/02/25 01:13:55 PM,1.8,-1.4,83.80,,,,,
371,04/02/25 01:14:05 PM,0.6,-3.6,83.82,,,,,
372,04/02/25 01:14:15 PM,1.8,-0.6,83.80,,,,,
373,04/02/25 01:14:25 PM,1.8,-1.4,83.80,,,,,
374,04/02/25 01:14:35 PM,0.6,-1.4,83.80,,,,,
375,04/02/25 01:14:45 PM,0.6,-1.4,83.79,,,,,
376,04/02/25 01:14:55 PM,0.6,-1.4,83.80,,,,,
377,04/02/25 01:15:05 PM,0.7,-3.6,83.80,,,,,
378,04/02/25 01:15:15 PM,0.6,-1.4,83.77,,,,,
379,04/02/25 01:15:25 PM,1.8,-1.4,83.75,,,,,
380,04/02/25 01:15:35 PM,1.8,-1.4,83.75,,,,,
381,04/02/25 01:15:45 PM,0.6,-0.6,83.75,,,,,
382,04/02/25 01:15:55 PM,1.8,-1.4,83.79,,,,,
383,04/02/25 01:16:05 PM,0.6,-0.6,83.80,,,,,
384,04/02/25 01:16:15 PM,0.7,10.3,83.84,,,,,
385,04/02/25 01:16:25 PM,1.8,-3.6,83.89,,,,,
386,04/02/25 01:16:35 PM,1.8,-1.4,83.91,,,,,
387,04/02/25 01:16:45 PM,0.6,10.3,83.93,,,,,
388,04/02/25 01:16:55 PM,0.6,-0.6,83.93,,,,,
389,04/02/25 01:17:05 PM,0.6,-1.4,83.93,,,,,
390,04/02/25 01:17:15 PM,1.8,-1.4,83.93,,,,,
