#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10778441, SEN S/N: 10778441)","Full Range, μS/cm (LGR S/N: 10778441, SEN S/N: 10778441)","Temp, °F (LGR S/N: 10778441, SEN S/N: 10778441)",Coupler Detached (LGR S/N: 10778441),Coupler Attached (LGR S/N: 10778441),Host Connected (LGR S/N: 10778441),Stopped (LGR S/N: 10778441),End Of File (LGR S/N: 10778441),Plot Title: Brad_DG_11.01.2023
237,11/1/2023 13:52,100.9,98,66.63,,,,,,
238,11/1/2023 13:52,100.8,98.4,66.63,,,,,,
239,11/1/2023 13:52,100.9,98.4,66.63,,,,,,
240,11/1/2023 13:52,101,98.4,66.61,,,,,,
241,11/1/2023 13:52,101,98.4,66.61,,,,,,
242,11/1/2023 13:53,100.9,98.4,66.61,,,,,,
243,11/1/2023 13:53,101,98.4,66.61,,,,,,
244,11/1/2023 13:53,100.9,98.4,66.61,,,,,,
245,11/1/2023 13:53,101,98.4,66.61,,,,,,
246,11/1/2023 13:53,101,98.4,66.61,,,,,,
247,11/1/2023 13:53,100.9,98.4,66.61,,,,,,
248,11/1/2023 13:53,101,98.4,66.61,,,,,,
249,11/1/2023 13:53,100.9,98.4,66.63,,,,,,
250,11/1/2023 13:53,100.9,98.4,66.63,,,,,,
251,11/1/2023 13:53,101,98.4,66.61,,,,,,
252,11/1/2023 13:53,101,98.4,66.61,,,,,,
253,11/1/2023 13:53,100.9,98.4,66.63,,,,,,
254,11/1/2023 13:54,101,98.4,66.61,,,,,,
255,11/1/2023 13:54,101,98,66.61,,,,,,
256,11/1/2023 13:54,101,98.4,66.61,,,,,,
257,11/1/2023 13:54,100.9,98,66.63,,,,,,
258,11/1/2023 13:54,100.9,98.4,66.63,,,,,,
259,11/1/2023 13:54,100.9,98.4,66.63,,,,,,
260,11/1/2023 13:54,100.9,98.4,66.63,,,,,,
261,11/1/2023 13:54,100.9,98.4,66.63,,,,,,
262,11/1/2023 13:54,100.9,98.4,66.63,,,,,,
263,11/1/2023 13:54,100.9,98.4,66.63,,,,,,
264,11/1/2023 13:54,100.9,98.4,66.63,,,,,,
265,11/1/2023 13:54,101,98.4,66.63,,,,,,
266,11/1/2023 13:55,101,98.4,66.61,,,,,,
267,11/1/2023 13:55,100.9,98.4,66.63,,,,,,
268,11/1/2023 13:55,100.9,98.4,66.63,,,,,,
269,11/1/2023 13:55,101,98.4,66.63,,,,,,
270,11/1/2023 13:55,101,98.4,66.63,,,,,,
271,11/1/2023 13:55,101,98.4,66.61,,,,,,
272,11/1/2023 13:55,101,98.4,66.63,,,,,,
273,11/1/2023 13:55,101,98.4,66.61,,,,,,
274,11/1/2023 13:55,101,98.4,66.63,,,,,,
275,11/1/2023 13:55,101,98.4,66.63,,,,,,
276,11/1/2023 13:55,101.1,98.4,66.63,,,,,,
277,11/1/2023 13:55,101,98.4,66.61,,,,,,
278,11/1/2023 13:56,101,98.4,66.63,,,,,,
279,11/1/2023 13:56,101.1,98.4,66.61,,,,,,
280,11/1/2023 13:56,101.1,98.4,66.61,,,,,,
281,11/1/2023 13:56,101.1,98.4,66.63,,,,,,
282,11/1/2023 13:56,101.1,98.4,66.63,,,,,,
283,11/1/2023 13:56,101.1,98.4,66.63,,,,,,
284,11/1/2023 13:56,101.1,98.4,66.63,,,,,,
285,11/1/2023 13:56,101.2,98.7,66.63,,,,,,
286,11/1/2023 13:56,101.2,98.4,66.63,,,,,,
287,11/1/2023 13:56,101.2,98.4,66.61,,,,,,
288,11/1/2023 13:56,101.1,98.4,66.67,,,,,,
289,11/1/2023 13:56,101.1,98.4,66.61,,,,,,
