[Header],,,,,,,,,,,,
System,TOC-L,,,,,,,,,,,
S/W Version,1,,,,,,,,,,,
User,,,,,,,,,,,,
Date/Time,11/21/2023 16:07,,,,,,,,,,,
,,,,,,,,,,,,
[System],,,,,,,,,,,,
Instrument Options,TOC/ASI/IC Unit/,,,,,,,,,,,
,,,,,,,,,,,,
[Data],,,,,,,,,,,,
Type,Anal.,Sample Name,Sample ID,Result(TOC),Result(TC),Result(IC),Result(POC),Result(NPOC),Result(TN),Unit,Vial,Date / Time
Unknown,NPOC,sam,C STD 50 PPM,,,,,22.81,,mg/L,41,11/21/2023 3:10
Unknown,NPOC,sam,C STD 50 PPM,,,,,37.13,,mg/L,42,11/21/2023 3:32
Unknown,NPOC,sam,C STD 50 PPM,,,,,5.585,,mg/L,43,11/21/2023 3:53
Unknown,NPOC,sam,C STD 50 PPM,,,,,6.98,,mg/L,44,11/21/2023 4:14
Unknown,NPOC,sam,C STD 50 PPM,,,,,11.6,,mg/L,45,11/21/2023 4:31
Unknown,NPOC,sam,C STD 50 PPM,,,,,17.59,,mg/L,46,11/21/2023 4:49
Unknown,NPOC,sam,C STD 50 PPM,,,,,9.992,,mg/L,47,11/21/2023 5:10
Unknown,NPOC,sam,C STD 50 PPM,,,,,14.02,,mg/L,48,11/21/2023 5:28
Unknown,NPOC,sam,C STD 50 PPM,,,,,16.52,,mg/L,49,11/21/2023 5:46
Unknown,NPOC,sam,C STD 50 PPM,,,,,17.64,,mg/L,50,11/21/2023 6:04
Unknown,NPOC,sam,C STD 50 PPM,,,,,19.66,,mg/L,51,11/21/2023 6:21
Unknown,NPOC,sam,C STD 50 PPM,,,,,3.357,,mg/L,52,11/21/2023 6:45
Unknown,NPOC,sam,C STD 50 PPM,,,,,6.461,,mg/L,53,11/21/2023 7:02
Unknown,NPOC,sam,C STD 50 PPM,,,,,8.344,,mg/L,54,11/21/2023 7:19
Unknown,NPOC,sam,C STD 50 PPM,,,,,3.256,,mg/L,55,11/21/2023 7:39
Unknown,NPOC,sam,C STD 50 PPM,,,,,4.193,,mg/L,56,11/21/2023 7:56
Unknown,NPOC,sam,C STD 50 PPM,,,,,11.07,,mg/L,57,11/21/2023 8:17
Unknown,NPOC,sam,C STD 50 PPM,,,,,15.28,,mg/L,58,11/21/2023 8:35
Unknown,NPOC,sam,C STD 50 PPM,,,,,8.831,,mg/L,59,11/21/2023 8:56
Unknown,NPOC,sam,C STD 50 PPM,,,,,10.75,,mg/L,60,11/21/2023 9:17
Unknown,NPOC,sam,C STD 50 PPM,,,,,10.96,,mg/L,61,11/21/2023 9:39
Unknown,NPOC,sam,C STD 50 PPM,,,,,3.66,,mg/L,62,11/21/2023 9:59
Unknown,NPOC,sam,C STD 50 PPM,,,,,7.176,,mg/L,63,11/21/2023 10:16
Unknown,NPOC,sam,C STD 50 PPM,,,,,1.985,,mg/L,64,11/21/2023 10:40
Unknown,NPOC,sam,C STD 50 PPM,,,,,2.839,,mg/L,65,11/21/2023 11:00
Unknown,NPOC,sam,C STD 50 PPM,,,,,7.057,,mg/L,66,11/21/2023 11:17
Unknown,NPOC,sam,C STD 50 PPM,,,,,8.597,,mg/L,67,11/21/2023 11:43
Unknown,NPOC,sam,C STD 50 PPM,,,,,6.126,,mg/L,68,11/21/2023 12:03
Unknown,NPOC,sam,C STD 50 PPM,,,,,7.3,,mg/L,69,11/21/2023 12:28
Unknown,NPOC,sam,C STD 50 PPM,,,,,7.057,,mg/L,70,11/21/2023 12:50
Unknown,NPOC,sam,C STD 50 PPM,,,,,2.805,,mg/L,71,11/21/2023 13:10
Unknown,NPOC,sam,C STD 50 PPM,,,,,5.214,,mg/L,72,11/21/2023 13:27
Unknown,NPOC,sam,C STD 50 PPM,,,,,5.241,,mg/L,73,11/21/2023 13:48
Unknown,NPOC,sam,C STD 50 PPM,,,,,3.488,,mg/L,74,11/21/2023 14:12
Unknown,NPOC,Wash,Wash,,,,,-1.34,,mg/L,0,11/21/2023 14:32
Unknown,NPOC,Wash,Wash,,,,,-1.71,,mg/L,0,11/21/2023 14:48
Unknown,NPOC,Wash,Wash,,,,,-1.378,,mg/L,0,11/21/2023 15:07
Unknown,NPOC,Wash,Wash,,,,,-1.762,,mg/L,0,11/21/2023 15:23
Unknown,NPOC,Wash,Wash,,,,,-1.513,,mg/L,0,11/21/2023 15:43
